DATE,IPN31152N
1/1/2005,1819.584745
2/1/2005,1895.32519
3/1/2005,1765.855532
4/1/2005,1642.696149
5/1/2005,1895.539952
6/1/2005,2051.723396
7/1/2005,1962.054288
8/1/2005,1889.655962
9/1/2005,1739.100049
10/1/2005,1695.917146
11/1/2005,1648.947919
12/1/2005,1560.984672
1/1/2006,1610.450509
2/1/2006,1806.332158
3/1/2006,2006.884011
4/1/2006,2108.310532
5/1/2006,2298.89612
6/1/2006,2398.883059
7/1/2006,2480.623326
8/1/2006,2413.082701
9/1/2006,2298.487708
10/1/2006,2273.910405
11/1/2006,2134.410066
12/1/2006,2025.984201
1/1/2007,2108.849694
2/1/2007,2006.814181
3/1/2007,2259.022435
4/1/2007,2036.616709
5/1/2007,2361.780452
6/1/2007,2567.221755
7/1/2007,2618.429787
8/1/2007,2579.353481
9/1/2007,2506.834876
10/1/2007,2657.244087
11/1/2007,2577.967768
12/1/2007,2489.389332
1/1/2008,2548.3276
2/1/2008,2694.387264
3/1/2008,2575.714077
4/1/2008,2600.2646
5/1/2008,2562.914067
6/1/2008,2689.595202
7/1/2008,2598.57007
8/1/2008,2561.866744
9/1/2008,2404.843728
10/1/2008,2503.783392
11/1/2008,2482.931466
12/1/2008,2383.918938
1/1/2009,2364.047755
2/1/2009,2377.215959
3/1/2009,2536.6965
4/1/2009,2585.327722
5/1/2009,2782.321026
6/1/2009,2786.68259
7/1/2009,2865.997924
8/1/2009,2939.052368
9/1/2009,2943.112352
10/1/2009,2733.51039
11/1/2009,2679.060103
12/1/2009,2615.282866
1/1/2010,2452.178708
2/1/2010,2415.371626
3/1/2010,2460.189545
4/1/2010,2643.898518
5/1/2010,2864.355129
6/1/2010,2991.732742
7/1/2010,2917.254934
8/1/2010,2846.516721
9/1/2010,2540.739259
10/1/2010,2551.871639
11/1/2010,2655.229927
12/1/2010,2690.017459
1/1/2011,2662.78361
2/1/2011,2741.303837
3/1/2011,2802.8475
4/1/2011,2787.801526
5/1/2011,2964.661856
6/1/2011,3073.948457
7/1/2011,3065.731456
8/1/2011,3016.099666
9/1/2011,2822.186838
10/1/2011,2670.823563
11/1/2011,2591.474478
12/1/2011,2665.52558
1/1/2012,2732.347412
2/1/2012,2712.340161
3/1/2012,2772.880919
4/1/2012,2619.307767
5/1/2012,2955.930915
6/1/2012,3118.814867
7/1/2012,3035.231555
8/1/2012,3107.2135
9/1/2012,3037.407113
10/1/2012,2766.585546
11/1/2012,2681.801674
12/1/2012,2602.727975
1/1/2013,2823.505158
2/1/2013,2864.930717
3/1/2013,2761.359722
4/1/2013,2893.013317
5/1/2013,3112.878082
6/1/2013,3258.901858
7/1/2013,3238.747912
8/1/2013,3315.435927
9/1/2013,3305.585091
10/1/2013,3079.380104
11/1/2013,2825.443948
12/1/2013,2759.084255
1/1/2014,2837.057039
2/1/2014,2933.253628
3/1/2014,2997.460942
4/1/2014,3181.928014
5/1/2014,3201.209272
6/1/2014,3248.361689
7/1/2014,3064.226965
8/1/2014,3370.221275
9/1/2014,3547.072859
10/1/2014,3284.339927
11/1/2014,3073.006124
12/1/2014,2940.489335
1/1/2015,3214.035339
2/1/2015,3310.425964
3/1/2015,3296.653664
4/1/2015,3109.791757
5/1/2015,3253.823863
6/1/2015,3358.520467
7/1/2015,3658.488345
8/1/2015,3432.336175
9/1/2015,3514.518419
10/1/2015,3417.368905
11/1/2015,3324.196781
12/1/2015,3490.297493
1/1/2016,3143.121916
2/1/2016,3036.72616
3/1/2016,3150.763366
4/1/2016,3282.645234
5/1/2016,3130.280273
6/1/2016,3575.487119
7/1/2016,3614.35253
8/1/2016,3576.180154
9/1/2016,3465.074092
10/1/2016,3381.476508
11/1/2016,3167.430231
12/1/2016,2879.862864
1/1/2017,2690.933362
2/1/2017,2815.474503
3/1/2017,2838.200706
4/1/2017,2914.007514
5/1/2017,3119.045962
6/1/2017,3253.942295
7/1/2017,3491.191187
8/1/2017,3491.772754
9/1/2017,3339.667315
10/1/2017,3017.18243
11/1/2017,3135.403067
12/1/2017,2983.605291
1/1/2018,3041.46018
2/1/2018,3186.839584
3/1/2018,3203.368436
4/1/2018,3222.517867
5/1/2018,3270.328314
6/1/2018,3479.687936
7/1/2018,3751.091549
8/1/2018,3620.708536
9/1/2018,3664.342788
10/1/2018,3765.690077
11/1/2018,3772.2517
12/1/2018,3676.413974
1/1/2019,3500.080108
2/1/2019,3647.596985
3/1/2019,3807.714144
4/1/2019,3750.504857
5/1/2019,3876.480875
6/1/2019,4184.755514
7/1/2019,4361.973622
8/1/2019,4343.611452
9/1/2019,
10/1/2019,
11/1/2019,
12/1/2019,
1/1/2020,
2/1/2020,
3/1/2020,
4/1/2020,
5/1/2020,
6/1/2020,
7/1/2020,
8/1/2020,
9/1/2020,
10/1/2020,
11/1/2020,
12/1/2020,
1/1/2021,
2/1/2021,
3/1/2021,
4/1/2021,
5/1/2021,
6/1/2021,
7/1/2021,
8/1/2021,
9/1/2021,
10/1/2021,
11/1/2021,
12/1/2021,
1/1/2022,
2/1/2022,
3/1/2022,
4/1/2022,
5/1/2022,
6/1/2022,
7/1/2022,
8/1/2022,
9/1/2022,
10/1/2022,
11/1/2022,
12/1/2022,
1/1/2023,
2/1/2023,
3/1/2023,
4/1/2023,
5/1/2023,
6/1/2023,
7/1/2023,
8/1/2023,
9/1/2023,
